"","species","trmt","a","ase","b","bse","c","cse","per10mean","per10se","per50mean","per50se","per90mean","per90se","type"
"55","Prvi","Dro2",11.0463015969864,1.43800686734971,273.609991326536,1.0606888935539,-5.88957629912006,1.72582949338342,286.55071312106,3.93209089728929,273.609991326536,1.0606888935539,260.669269532013,3.94307514505157,"CCI"
"56","Prvi","Dro2",81.4294546596498,4.05090802590342,267.301196753973,1.43227731246573,-3.28469272100892,0.454324909703672,274.518404329572,1.25360134356747,267.301196753973,1.43227731246573,260.083989178375,2.12705002287857,"Percentage"
"57","Prvi","Dro3",7.34668656474405,0.405473428636651,269.155544066543,0.528123624122008,-2.29778737097937,0.596133263568505,274.204298951552,1.45617305985521,269.155544066543,0.528123624122008,264.106789181535,1.36702003089457,"A"
"58","Prvi","Dro3",6.95259344416026,1.40167158465278,272.788140132081,4.1830533188064,-6.6356082957503,2.50475342334063,287.36806176508,2.54126899091048,272.788140132081,4.1830533188064,258.208218499082,9.44007276641916,"CCI"
"59","Prvi","Dro3",88.0090795215867,2.60381860558923,269.666375430261,1.45944808038616,-3.86990203060322,0.535316294364497,278.169419283786,1.67243108048342,269.666375430261,1.45944808038616,261.163331576736,2.05667016461954,"Percentage"
"60","Prvi","GS_ext",13.6376333222504,0.792926155382034,263.71615797892,1.5628847298474,-5.12196643625095,0.944965622903657,274.970268516942,1.94141790335154,263.71615797892,1.5628847298474,252.462047440899,3.12060431798007,"A"
"61","Prvi","GS_ext",12.7129640788961,0.795250893895144,265.14654954276,4.40799287560713,-11.0665746602601,5.15464061648676,289.46229937321,7.38706606753519,265.14654954276,4.40799287560713,240.83079971231,15.5191564554021,"CCI"
"62","Prvi","GS_ext",88.3924320427439,2.81530541294191,267.806808375644,1.81965394094806,-3.53667792166136,0.432213853714245,275.577684027241,2.03295932546762,267.806808375644,1.81965394094806,260.035932724047,2.07198140797548,"Percentage"
"63","Prvi","GS_ext_heat",21.010860432365,4.85805996131605,261.307844694047,6.83411892494005,-7.85686738440445,3.37296972979894,278.571146811932,2.13270527332268,261.307844694047,6.83411892494005,244.044542576162,14.0965553124319,"CCI"
"64","Prvi","GS_ext_heat",88.57465198712,2.49170741432619,264.747914118686,1.53738529549315,-3.82654458828482,0.266588788538566,273.155691934338,1.40974396153158,264.747914118686,1.53738529549315,256.340136303033,1.85093163658985,"Percentage"
