#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
552,03-21-2023 06:15:10,1.917,,,,
553,03-21-2023 06:25:10,1.627,,,,
554,03-21-2023 06:35:10,2.132,,,,
555,03-21-2023 06:45:10,3.011,,,,
556,03-21-2023 06:55:10,2.443,,,,
557,03-21-2023 07:05:10,2.089,,,,
558,03-21-2023 07:15:10,2.046,,,,
559,03-21-2023 07:25:10,3.172,,,,
560,03-21-2023 07:35:10,3.108,,,,
561,03-21-2023 07:45:10,2.410,,,,
562,03-21-2023 07:55:10,2.110,,,,
563,03-21-2023 08:05:10,2.625,,,,
564,03-21-2023 08:15:10,3.483,,,,
565,03-21-2023 08:25:10,2.657,,,,
566,03-21-2023 08:35:10,2.132,,,,
567,03-21-2023 08:45:10,2.003,,,,
568,03-21-2023 08:55:10,3.183,,,,
569,03-21-2023 09:05:10,3.108,,,,
570,03-21-2023 09:15:10,2.400,,,,
571,03-21-2023 09:25:10,2.142,,,,
572,03-21-2023 09:35:10,2.711,,,,
573,03-21-2023 09:45:10,3.333,,,,
574,03-21-2023 09:55:10,2.443,,,,
575,03-21-2023 10:05:10,2.357,,,,
576,03-21-2023 10:15:10,2.207,,,,
577,03-21-2023 10:25:10,3.311,,,,
578,03-21-2023 10:35:10,3.108,,,,
579,03-21-2023 10:45:10,2.282,,,,
580,03-21-2023 10:55:10,2.142,,,,
581,03-21-2023 11:05:10,2.775,,,,
582,03-21-2023 11:15:10,3.440,,,,
583,03-21-2023 11:25:10,2.625,,,,
584,03-21-2023 11:35:10,2.153,,,,
585,03-21-2023 11:45:10,2.046,,,,
586,03-21-2023 11:55:10,3.354,,,,
587,03-21-2023 12:05:10,3.086,,,,
588,03-21-2023 12:15:10,2.346,,,,
589,03-21-2023 12:25:10,2.067,,,,
590,03-21-2023 12:35:10,2.796,,,,
591,03-21-2023 12:45:10,3.322,,,,
592,03-21-2023 12:55:10,2.636,,,,
593,03-21-2023 13:05:10,2.217,,,,
594,03-21-2023 13:15:10,2.196,,,,
595,03-21-2023 13:25:10,3.311,,,,
